corregimie,ndvi_anom,fecha,vci,spi_1
El Cristo,-1,2023-01-01,29.3049341686,0.740307704894
Penonomé (Cabecera),0.125366989666,2023-01-01,61.9936759875,0.58153204538
Río Grande,-0.110529366319,2023-01-01,54.0498205279,0.668245922214
Río Indio,0.069794897892,2023-01-01,66.2590211105,0.982838363967
Toabré,-0.206361008882,2023-01-01,55.0412283805,0.724752311684
Tulú,-0.057487647966,2023-01-01,56.1681018212,0.625844302287
Reicito,-0.564064862702,2023-01-01,35.8393156062,0.971040915027
Tucue,-0.160027170547,2023-01-01,50.768025267,0.634889819736
Las Minas,-0.387336927798,2023-01-01,46.2451763773,0.625202259111
San Miguel,-0.163705839839,2023-01-01,42.0030030186,0.731336577063
Ovalle,-0.117818898979,2023-01-01,58.0628517558,0.918139737659
Pajonal,0.217149452279,2023-01-01,52.0711052502,0.525875368863
Aguadulce (Cabecera),-0.050210463504,2023-02-01,53.0172966004,-1.81454333353
Barrios Unidos,0.385655584238,2023-02-01,57.5848075105,-1.79661111896
El Cristo,-0.408991373144,2023-02-01,55.0628287511,-1.80187844927
El Hato de San Juan de Dios,-0.823859244585,2023-02-01,59.7634073911,-1.72780085388
El Roble,0.351154579031,2023-02-01,52.3017367326,-1.71979575594
Pueblos Unidos,-0.146783824252,2023-02-01,47.2671547112,-1.64807901936
Antón (Cabecera),0.431572346914,2023-02-01,69.9598241209,-1.71719518226
Caballero,0.309448267791,2023-02-01,68.4174177575,-1.79926136289
Cabuya,0.465096887856,2023-02-01,86.4894725169,-1.71840906837
El Chirú,0.316384029495,2023-02-01,66.0246120182,-1.49043856283
El Retiro,0.300361214938,2023-02-01,74.9833310338,-1.63817577762
El Valle,0.028616221393,2023-02-01,67.1291190752,-1.81241404755
Juan Díaz,0.236588845431,2023-02-01,78.2459412278,-1.8355929847
Río Hato,0.373388280036,2023-02-01,96.1080996446,-1.45724729105
San Juan de Dios,0.229118388596,2023-02-01,67.991133494,-1.85302308134
Santa Rita,0.329039869351,2023-02-01,71.5673295756,-1.76043850829
El Harino,0.290902145788,2023-02-01,67.3721669518,-1.99596828612
El Potrero,0.295635340884,2023-02-01,69.4301266669,-2.06398820568
La Pintada (Cabecera),0.420129702819,2023-02-01,70.0479671355,-2.09740285354
Las Lomas,0.198312406813,2023-02-01,67.6964671999,-1.85914376593
Llano Grande,0.389124627954,2023-02-01,71.5149286094,-2.02640485721
Llano Norte,0.293941513436,2023-02-01,73.0458716077,-2.0591561636
Piedras Gordas,0.474220196031,2023-02-01,77.9657386291,-2.05451216515
Capellanía,0.0857507533486,2023-02-01,56.227971677,-1.90855205192
El Caño,-0.086708023467,2023-02-01,65.9800665818,-1.98952059766
Guzmán,0.433744614979,2023-02-01,72.0553314398,-1.93606979753
Las Huacas,0.228884781487,2023-02-01,51.5847948663,-1.71397765972
Natá (Cabecera),-0.0870186578821,2023-02-01,58.4616373143,-1.86910016312
Toza,0.269294782118,2023-02-01,64.2085047693,-1.85372436272
Villarreal,0.302614163034,2023-02-01,70.5194664315,-1.86439543986
El Copé,0.478528090442,2023-02-01,59.7776079791,-1.75999522079
El Palmar,0.283335409313,2023-02-01,63.1683739473,-1.78374886006
El Picacho,0.271622593204,2023-02-01,67.5476985553,-1.85779660709
La Pava,0.591783066094,2023-02-01,74.847945469,-1.85618639575
Cañaveral,0.516635178912,2023-02-01,80.9226783732,-2.09046872998
Chiguirí Arriba,0.253525756918,2023-02-01,73.6760956337,-1.88166383013
Coclé,-0.266323701184,2023-02-01,63.2794190861,-1.97795588279
El Coco,0.327334541838,2023-02-01,79.0535505022,-1.91331738832
Victoriano Lorenzo,0.362048405548,2023-02-01,69.5964899781,-1.94553918147
Penonomé (Cabecera),0.156543281307,2023-02-01,64.7009416045,-2.04354137956
Río Grande,0.0227899809167,2023-02-01,66.5189441109,-2.01805539189
Río Indio,0.312835389327,2023-02-01,76.6327762491,-1.83678849762
Toabré,0.375679130127,2023-02-01,76.1582148932,-1.96419434717
Tulú,0.162832523876,2023-02-01,69.407718091,-2.01038226085
Reicito,0.36447975392,2023-02-01,77.9103629563,-1.92831055921
Tucue,0.0403009748905,2023-02-01,65.1712148243,-2.00566695969
Las Minas,0.2708104211,2023-02-01,75.6378341421,-2.0509243904
San Miguel,0.0644194664602,2023-02-01,68.958160319,-1.97649345314
Ovalle,0.217088022473,2023-02-01,72.2184536287,-1.88938121056
Pajonal,0.566207024376,2023-02-01,80.6001008481,-1.85696945629
Aguadulce (Cabecera),-0.139759424211,2023-03-01,61.8860331475,0.0231642183994
Barrios Unidos,0.349674864309,2023-03-01,62.310859609,0.0889808753326
El Cristo,-1,2023-03-01,70.2015480128,-0.0980359151248
